layer,train_l2,val_l2
0,0.0050018321606330575,0.00029747462540399285
1,0.36235419660806656,0.3508306920528412
2,0.4145436093211174,0.41195616871118546
3,0.4254176765680313,0.4194258123636246
4,0.66552032828331,0.6920981049537659
5,0.8313318490982056,0.8746995031833649
6,1.0795962154865264,1.1378743201494217
7,1.3497940659523011,1.4894871294498444
8,1.2782327830791473,1.3747313678264619
9,1.4278417468070983,1.5226265728473662
10,1.5999726593494414,1.7096448063850402
11,1.3810261964797974,1.4558447539806365
12,1.3428277790546417,1.4343383729457855
