layer,train_l2,val_l2
0,0.0035272845532745125,0.00018986611685249953
1,1.0282792747020721,1.0381650537252427
2,1.5148330926895142,1.569077581167221
3,2.4222562849521636,2.5630364418029785
4,2.913743627071381,3.062835955619812
5,3.684386146068573,3.8360381841659548
6,3.7143526315689086,3.8526387810707092
7,4.544608151912689,4.715978741645813
8,5.346473646163941,5.577254927158355
9,5.6385620594024655,5.882684254646302
10,6.347764921188355,6.552534723281861
11,6.480755543708801,6.6497392654418945
12,7.53913688659668,8.008335447311401
13,7.996358895301819,8.105807232856751
14,8.368764543533326,8.5068363904953
15,8.189852786064147,8.587848877906799
16,186.80994853973388,209.32595138549806
17,185.55271606445314,207.98784484863282
18,185.3216875076294,207.43505401611327
19,182.84789009094237,204.72773475646972
20,181.60912399291993,203.51572456359864
21,179.1587797164917,200.75279960632324
22,179.48232460021973,201.0022880554199
